author,helpfulness_vote_information,id,position,rating,review_date,reviewed_version,text,title
"{'name': 'Maddy246813579', 'author_id': '185304431'}",1 out of 1 customers found this review helpful,14172852961,23,1,"Jun 12, 2026",Version 1.2.8,"The game is just Ai trash. Question are to east to answer and after 9 questions they expect you to pay for everything beyond. It’s understandable if a real person made it, but it’s extremely hard to believe this wasn’t fully made by ai. Also paying for something with advertisement for apps and company’s riddled through emails and apps is so beyond unreasonable to me. There are ads built into the game that they want you to pay for. The little time you are allowed to play for free they advertise thing such as tinder, air bnb, the Simpson, Nike, family guy, and many many more things Some of which you can not answer the questions without interacting with. Over all a complete scam and just unbelievable that they are trying to charge people for it.",Ai slop
"{'name': 'cosmic cycle', 'author_id': '204258879'}",,14171839623,24,5,"Jun 11, 2026",Version 1.2.8,Super fun kept me occupied for hours,So fun
"{'name': 'micheal p n a jackson', 'author_id': '1931558860'}",,14168146117,25,1,"Jun 11, 2026",Version 1.2.8,"one they have ai, two they make us pay 6 dollars A WEEK just to finish the chapter?? horrible. follow me on roblox for more reviews ❤️",bad game
"{'name': '$.)€', 'author_id': '1599161541'}",,14167925093,26,1,"Jun 10, 2026",Version 1.2.8,You should not have to pay the amount of money you do to finish on episode it is stupid,Expensive
"{'name': 'Loook at meee', 'author_id': '1521382027'}",,14167851622,27,3,"Jun 10, 2026",Version 1.2.8,This game is fun don’t get me wrong BUT it uses ai AND you have to pay to play at the end.,Idk
"{'name': 'Pretzel I’m Presley', 'author_id': '1667128474'}",,14167378777,28,1,"Jun 10, 2026",Version 1.2.8,I was playing a talkie and I was doing Julia and Thomas it was very fun and then I get to question 9 wondering the answer bc if kept saying “your so close to the truth” so I got tired of it and searched the answer up on TikTok and noticed I js had to pay for it and it was so annoying so I don’t reccomend this game I play a different one called pay Lisa it’s better then this,Annoying
"{'name': 'jelly•07', 'author_id': '912727460'}",,14163796833,29,1,"Jun 09, 2026",Version 1.2.8,yall know yall dead wrong for charging. Got me over here thinking im telling this lady the wrong answer whole time yall just want me to pay gone head on.,BFFRL
"{'name': 'Shashaydhdydu', 'author_id': '1452264854'}",,14163239985,30,1,"Jun 09, 2026",Version 1.2.8,you can go past question nine without paying it’s not a real challenge and they used AI,This actually sucks
"{'name': 'авторитетная персона', 'author_id': '1540639855'}",,14155397926,31,1,"Jun 07, 2026",Version 1.2.8,I definitely wrote the correct answer but it declined 😱,Can’t move to the next step
"{'name': 'nell8a87', 'author_id': '1474369182'}",,14154005274,32,1,"Jun 07, 2026",Version 1.2.8,I couldn even finish couple things without asking for money also telling me wrong answers when its right than the pay me think ... Whatever,Bad
"{'name': 'Yen9273', 'author_id': '1406774948'}",,14153433957,33,1,"Jun 07, 2026",Version 1.2.8,"You can’t finish even a single episode fully without having to pay. It’s fun don’t get me wrong, but I feel like if there was an option for the people who don’t want to pay, this app would go a long way.",Good but not worth it
"{'name': 'idkhjhh', 'author_id': '1930109189'}",,14153009669,34,3,"Jun 07, 2026",Version 1.2.8,This a a really fun game i was really enjoying it until they tried making me buy a monthly/yearly trial in order to complete the episode . I just ended up deleting the app,Wish they would’ve added a free trial or something
"{'name': 'Leafy_gr33ns', 'author_id': '1854286728'}",,14152617968,35,3,"Jun 07, 2026",Version 1.2.8,"The game is very fun, but I don’t wanna pay five bucks a week to complete episode nor do I want to pay 30 bucks for an entire year. as a college student I’m not gonna pay that. just put ads in the game.",Fun but not free at all
"{'name': 'Bea-b 8', 'author_id': '957621743'}",,14147690384,36,3,"Jun 05, 2026",Version 1.2.8,this game would be a lot better if i could actually complete one episode. i paid for pro and still can’t finish it.,uhmmmm
"{'name': 'kate..mccarthy', 'author_id': '1592074053'}",,14147479587,37,2,"Jun 05, 2026",Version 1.2.8,"fun game and an awesome concept but uses ai and you can’t even do a full episode without paying. disappointed to say the least, would’ve been a great game","ai, need to pay"
"{'name': 'A1M2V3P', 'author_id': '1176551860'}",,14144289898,38,3,"Jun 04, 2026",Version 1.2.8,Its a good game but I got stuck on one question and the hints aren’t great it’s not bad but its not good it’s ok,It’s ok
"{'name': 'gfjjgvjvfff', 'author_id': '468278595'}",,14134001346,39,3,"Jun 02, 2026",Version 1.2.7,Love the idea and it’s fun but all of text messages are ai chat boxes talking to other and there’s times where ther conversation straight up does NOT make sense.,Good idea. BADDDD Ai Chat bot conversations
"{'name': 'itscpars', 'author_id': '917362627'}",,14129293771,40,1,"Jun 01, 2026",Version 1.2.7,Fun concept but you can’t even complete one story for free and the subscription is ridiculously overpriced. Please just put ads in the game because no one is paying 6 dollars a WEEK for a cheaply made game filled with offputting AI images.,Waste of time
"{'name': 'bae stay2930', 'author_id': '1545094977'}",,14128846384,41,2,"May 31, 2026",Version 1.2.7,it’s a good game soo fun saw it on tiktok i was so excited to awnser the questions and get to the bottom of this but then i got interrupted and it wouldn’t let me continue playing till i buy pro 😐 stop being so money hungry,honestly
"{'name': 'mayaaaaaaaaa!', 'author_id': '1576652395'}",,14128554415,42,2,"May 31, 2026",Version 1.2.7,￼ it’s a fun entertaining game,my review
"{'name': 'ringingphon', 'author_id': '1309730566'}",,14127553688,43,2,"May 31, 2026",Version 1.2.7,Not much to say aside from that you CANNOT play unless you are willing to play and the levels are honestly too easy 💔,honestly NOT what I was expecting
